江西,#genre#
江西卫视,http://117.169.26.2:6610/PLTV/88888910/224/3221225705/index.m3u8
江西卫视,http://117.169.26.2:6610/PLTV/88888910/224/3221225746/index.m3u8
江西卫视,http://117.169.26.2:6610/PLTV/88888888/224/3221225492/2/index.m3u8
江西卫视,http://117.169.26.2:6610/PLTV/88888888/224/3221225746/2/index.m3u8
江西卫视,http://117.169.26.2:6610/PLTV/88888888/224/3221225705/2/index.m3u8
江西卫视,http://117.169.26.2:6610/PLTV/88888910/224/3221225492/index.m3u8
江西都市,http://117.169.26.2:6610/PLTV/88888910/224/3221225584/index.m3u8
江西都市,http://117.169.26.2:6610/PLTV/88888888/224/3221225584/2/index.m3u8
江西经济生活,http://117.169.26.2:6610/PLTV/88888910/224/3221226206/index.m3u8
江西经济生活,http://117.169.26.2:6610/PLTV/88888888/224/3221226206/2/index.m3u8
江西经济生活,http://117.169.26.2:6610/PLTV/88888910/224/3221225580/index.m3u8
江西经济生活,http://117.169.26.2:6610/PLTV/88888888/224/3221225580/2/index.m3u8
江西影视旅游,http://117.169.26.2:6610/PLTV/88888888/224/3221226291/2/index.m3u8
江西影视旅游,http://117.169.26.2:6610/PLTV/88888910/224/3221226291/index.m3u8
江西影视旅游,http://117.169.26.2:6610/PLTV/88888888/224/3221225579/2/index.m3u8
江西影视旅游,http://117.169.26.2:6610/PLTV/88888910/224/3221225579/index.m3u8
江西公共农业,http://117.169.26.2:6610/PLTV/88888910/224/3221225578/index.m3u8
江西公共农业,http://117.169.26.2:6610/PLTV/88888888/224/3221225578/2/index.m3u8
江西少儿,http://117.169.26.2:6610/PLTV/88888910/224/3221226194/index.m3u8
江西少儿,http://117.169.26.2:6610/PLTV/88888888/224/3221226194/2/index.m3u8
江西少儿,http://117.169.26.2:6610/PLTV/88888910/224/3221225577/index.m3u8
江西少儿,http://117.169.26.2:6610/PLTV/88888888/224/3221225577/2/index.m3u8
江西新闻,http://117.169.26.2:6610/PLTV/88888888/224/3221225615/2/index.m3u8
江西新闻,http://117.169.26.2:6610/PLTV/88888910/224/3221225615/index.m3u8
江西新闻,http://117.169.26.2:6610/PLTV/88888910/224/3221225576/index.m3u8
江西新闻,http://117.169.26.2:6610/PLTV/88888888/224/3221225576/2/index.m3u8
江西移动电视,http://117.169.26.2:6610/PLTV/88888910/224/3221226285/index.m3u8
江西移动电视,http://117.169.26.2:6610/PLTV/88888888/224/3221226285/2/index.m3u8
江西陶瓷,http://117.169.26.2:6610/PLTV/88888910/224/3221226304/index.m3u8
江西陶瓷,http://117.169.26.2:6610/PLTV/88888888/224/3221226304/2/index.m3u8
江西IPTV1,http://117.169.26.2:6610/PLTV/88888888/224/3221226381/2/index.m3u8
江西IPTV1,http://117.169.26.2:6610/PLTV/88888910/224/3221226381/index.m3u8
江西IPTV2,http://117.169.26.2:6610/PLTV/88888888/224/3221226376/2/index.m3u8
江西IPTV2,http://117.169.26.2:6610/PLTV/88888910/224/3221226376/index.m3u8
江西教育,http://117.169.26.2:6610/PLTV/88888910/224/3221226197/index.m3u8
江西教育,http://117.169.26.2:6610/PLTV/88888888/224/3221226197/2/index.m3u8
南昌综合,http://117.169.26.2:6610/PLTV/88888888/224/3221226382/2/index.m3u8
南昌综合,http://117.169.26.2:6610/PLTV/88888910/224/3221226382/index.m3u8
南昌都市,http://117.169.26.2:6610/PLTV/88888888/224/3221226385/2/index.m3u8
南昌都市,http://117.169.26.2:6610/PLTV/88888910/224/3221226385/index.m3u8
南昌资讯,http://117.169.26.2:6610/PLTV/88888888/224/3221226374/2/index.m3u8
南昌资讯,http://117.169.26.2:6610/PLTV/88888910/224/3221226374/index.m3u8
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225492/index.m3u8?fmt=ts2hls
江西卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225705/index.m3u8?zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&
江西卫视,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225746/index.m3u8?
江西卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225705/index.m3u8?zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C34467740%2C10.149.188.82%2C20230130104534%2C10000100000000050000000000747253%2C34467740%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000787389_0%2CEND&GuardEncType=2
江西卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225492/2/index.m3u8
江西卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225705/2/index.m3u8
江西卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225746/2/index.m3u8
江西卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225583/2/index.m3u8
江西卫视,http://php.jdshipin.com:8880/jxtv2.php?id=1
江西都市,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225584/index.m3u8?fmt=ts2hls
江西都市,http://zxrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225584/10000100000000060000000000000162_0.smil/index.m3u8?
江西都市,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225584/2/index.m3u8
江西都市,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225584/2/index.m3u8?fmt=ts2hls?zjiangxd
江西都市,http://39.135.140.104:6610/PLTV/88888888/224/3221225584/1/index.m3u8?fmt=ts2hls
江西都市,http://39.135.140.227:6610/PLTV/88888888/224/3221225584/2/index.m3u8?fmt=ts2hls 
江西都市,http://39.137.49.76:8080/PLTV/88888888/224/3221225584/10000100000000060000000000000162_0.smil/index.m3u8?fmt=ts2hls&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C34467740%2C10.149.188.82%2C20230130104534%2C10000100000000050000000000000142%2C34467740%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000000162_0%2CEND&GuardEncType=2
江西都市,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225584/index.m3u8?fmt=ts2hls
江西都市,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225584/10000100000000060000000000000162_0.smil/index.m3u8?fmt=ts2hls
江西都市,http://php.jdshipin.com:8880/TVOD/iptv.php?id=jxds
江西经济生活,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226206/index.m3u8?fmt=ts2hls
